"Shopping Cart","CARRITO DE COMPRAS"
"Actions","Acciones"
"Free Shipping","Envío gratis"
"Shipping Address","Dirección de envío"
"Email Address","Correo electrónico"
"First Name","Nombre"
"Last Name","Apellidos"
"Company","Empresa"
"Street Address","Dirección"
"Street Address: Line %1","Dirección: Línea %1"
"City","Ciudad"
"Phone Number","Teléfono"
"Shipping Methods","Métodos de envío"
"Select Method","Seleccionar"
"Method Title","Método"
"Carrier Title","Transportista"
"Fixed","Fijo"
"Flat Rate","Tarifa fija"
"View Details","Ver detalles"
"Hide Details","Ocultar detalles"
"Next","Siguiente"
"Previous","Anterior"
"You can create an account after checkout.","Podrás crear una cuenta después del pago."
"Please select a region, state or province.","Por favor selecciona un departamento."
"This is a required field.","Este campo es obligatorio."
"Please enter a valid email address (Ex: johndoe@domain.com).","Por favor ingresa un correo electrónico válido."
"Please enter a valid phone number.","Por favor ingresa un número de teléfono válido."
"Payment Methods","Métodos de pago"
"Payment Method","Método de pago"
"Place Order","Realizar pedido"
"Apply","Aplicar"
"Discount Code","Código de descuento"
"Cancel","Cancelar"
"Ship To:","Enviar a:"
"Shipping Method:","Método de envío:"
"View and Edit Cart","Ver y editar carrito"
"New Address","Nueva dirección"
"Sorry, no quotes are available for this order at this time","Lo sentimos, no hay opciones de envío disponibles en este momento"
"Loading...","Cargando..."
"Password","Contraseña"
"Forgot Your Password?","¿Olvidaste tu contraseña?"
"Billing Address","Dirección de facturación"
"My billing and shipping address are the same","Mi dirección de facturación y envío son la misma"
"Update address","Actualizar dirección"
"Save in address book","Guardar en la libreta de direcciones"
"Summary","Resumen"
"Check Out with Multiple Addresses","Pagar con múltiples direcciones"
"Have a coupon?","¿Tienes un cupón?"
"Add to Cart","Agregar al carrito"
"Sort By","Ordenar por"
"Sort by","Ordenar por"
"View as","Ver como"
"Grid","Cuadrícula"
"List","Lista"
"Show","Mostrar"
"per page","por página"
"%1 per page","%1 por página"
"Category","Categoría"
"Shop By","Filtrar por"
"Filter","Filtrar"
"Now Shopping by","Filtrando por"
"Clear All","Limpiar todo"
"Remove This Item","Eliminar este filtro"
"Compare Products","Comparar productos"
"Compare","Comparar"
"My Wish List","Mi lista de deseos"
"Last Added Items","Últimos artículos agregados"
"Go to Wish List","Ir a lista de deseos"
"Search","Buscar"
"Search entire store here...","Buscar en toda la tienda..."
"Search results for: '%1'","Resultados de búsqueda para: '%1'"
"Search results for","Resultados de búsqueda para"
"Did you mean","Quisiste decir"
"Related search terms","Búsquedas relacionadas"
"No results found","No se encontraron resultados"
"Your search returned no results.","Tu búsqueda no arrojó resultados."
"Suggestions","Sugerencias"
"Minimum Search query length is %1","La longitud mínima de búsqueda es %1 caracteres"
"No results for your search","Sin resultados para tu búsqueda"
"Search Terms","Términos de búsqueda"
"Popular Search Terms","Términos de búsqueda populares"
"Set Descending Direction","Orden descendente"
"Set Ascending Direction","Orden ascendente"
"As low as","Desde"
"Starting at","Desde"
"Page","Página"
"Account","Mi cuenta"
"My Account","Mi cuenta"
"Settings","Configuración"
"Menu","Menú"
"Navigation","Navegación"
"Subscribe","Suscribirse"
"Submit","Enviar"
"To Top","Ir arriba"
"Details","Detalles"
"More Information","Más información"
"Description","Descripción"
"Additional Information","Información adicional"
"Product Details","Detalles del producto"
"Reviews","Opiniones"
"Review","Opinión"
"Write a Review","Escribir una opinión"
"Write Your Own Review","Escribe tu opinión"
"Submit Review","Enviar opinión"
"Rating","Calificación"
"Customer Reviews","Opiniones de clientes"
"Be the first to review this product","Sé el primero en opinar sobre este producto"
"You're reviewing:","Estás opinando sobre:"
"Nickname","Apodo"
"Summary of Your Review","Resumen de tu opinión"
"Review Title","Título de la opinión"
"Quality","Calidad"
"Value","Valor"
"Overall","General"
"%1 Review(s)","%1 Opinión(es)"
"%1 Reviews","%1 Opiniones"
"1 Review","1 Opinión"
"In stock","Disponible"
"Out of stock","Agotado"
"In Stock","Disponible"
"Out of Stock","Agotado"
"Only %1 left","Solo quedan %1"
"Availability","Disponibilidad"
"SKU","Ref."
"Add to cart","Agregar al carrito"
"Added to cart","Agregado al carrito"
"Go to cart","Ir al carrito"
"Added","Agregado"
"Choose an Option...","Elige una opción..."
"Choose an option","Elige una opción"
"Please select an option.","Por favor selecciona una opción."
"Select","Seleccionar"
"More","Más"
"Show More","Ver más"
"Show Less","Ver menos"
"Read More","Leer más"
"Read Less","Leer menos"
"Less","Menos"
"Size","Talla"
"Color","Color"
"Qty:","Cant.:"
"Quantity","Cantidad"
"Increase Qty","Aumentar cantidad"
"Decrease Qty","Disminuir cantidad"
"Home","Inicio"
"Back","Volver"
"Required Fields","Campos obligatorios"
"Required","Obligatorio"
"* Required Fields","* Campos obligatorios"
"Create an Account","Crear cuenta"
"Create New Customer Account","Crear nueva cuenta de cliente"
"Welcome","Bienvenido"
"Welcome, %1!","¡Bienvenido, %1!"
"Default welcome msg!","¡Bienvenido a Giant Colombia!"
"Log In","Iniciar sesión"
"Log Out","Cerrar sesión"
"Sign Out","Cerrar sesión"
"My Orders","Mis pedidos"
"My Downloadable Products","Mis productos descargables"
"Address Book","Libreta de direcciones"
"Account Information","Información de la cuenta"
"Stored Payment Methods","Métodos de pago guardados"
"Newsletter Subscriptions","Suscripciones al boletín"
"Newsletter","Boletín"
"Order #","Pedido #"
"Order %1","Pedido %1"
"Status","Estado"
"Date","Fecha"
"Reorder","Volver a pedir"
"View Order","Ver pedido"
"Print Order","Imprimir pedido"
"Track Order","Rastrear pedido"
"Share","Compartir"
"Share Wish List","Compartir lista de deseos"
"Email to a Friend","Enviar a un amigo"
"Send Email","Enviar correo"
"Sender","Remitente"
"Name","Nombre"
"Email","Correo electrónico"
"Message","Mensaje"
"Recipients","Destinatarios"
"Send","Enviar"
"Contact Us","Contáctanos"
"Contact","Contacto"
"Subject","Asunto"
"Comment","Comentario"
"What's this?","¿Qué es esto?"
"Search Terms","Términos de búsqueda"
"Orders and Returns","Pedidos y devoluciones"
"Advanced Search","Búsqueda avanzada"
"Privacy Policy","Política de privacidad"
"Privacy and Cookie Policy","Política de privacidad y cookies"
"Copyright","Derechos reservados"
"Wish List","Lista de deseos"
"You have no items in your wish list.","No tienes artículos en tu lista de deseos."
"Recently Viewed Products","Productos vistos recientemente"
"Recently Ordered","Pedidos recientes"
"Recently Viewed","Vistos recientemente"
"Recently Compared","Comparados recientemente"
"New Products","Productos nuevos"
"Best Sellers","Los más vendidos"
"Featured Products","Productos destacados"
"Compare Products","Comparar productos"
"You have no items to compare.","No tienes artículos para comparar."
"Print this page","Imprimir esta página"
"Please wait...","Por favor espera..."
"Loading next step...","Cargando siguiente paso..."
"Are you sure you would like to remove this item from the shopping cart?","¿Estás seguro de que deseas eliminar este artículo del carrito?"
"Are you sure you would like to remove this item?","¿Estás seguro de que deseas eliminar este artículo?"
"OK","Aceptar"
"Confirmation","Confirmación"
"Error","Error"
"Success","Éxito"
"Warning","Advertencia"
"Notice","Aviso"
"Information","Información"
"Please specify product option(s).","Por favor selecciona las opciones del producto."
"Please select product option(s) before adding to cart.","Por favor selecciona las opciones del producto antes de agregar al carrito."
"From","Desde"
"To","Hasta"
"Yes","Sí"
"No","No"
"Delete","Eliminar"
"Confirm","Confirmar"
"All","Todos"
"None","Ninguno"
"Select All","Seleccionar todo"
"Deselect All","Deseleccionar todo"
"Save","Guardar"
"Reset","Restablecer"
"Done","Listo"
"Optional","Opcional"
"or","o"
"and","y"
"Go","Ir"
"Clear","Limpiar"
"Search by keyword","Buscar por palabra clave"
"No records found.","No se encontraron registros."
"We can't find products matching the selection.","No encontramos productos con los filtros seleccionados."
"We found %1 result(s) for ""%2""","Encontramos %1 resultado(s) para ""%2"""
"item(s)","artículo(s)"
"Items %1 to %2 of %3 total","Artículos %1 a %2 de %3 en total"
"Items 1 to %1 of %2 total","Artículos 1 a %1 de %2 en total"
"Page %1 of %2","Página %1 de %2"
"Show %1 per page","Mostrar %1 por página"
"%1 Item(s)","%1 Artículo(s)"
"%1 item(s)","%1 artículo(s)"
"Image","Imagen"
"Product Image","Imagen del producto"
"Skip to Content","Ir al contenido"
"Skip to Main Content","Ir al contenido principal"
"Enter your search term","Ingresa tu búsqueda"
"Search by","Buscar por"
"You added %1 to your shopping cart.","Agregaste %1 a tu carrito de compras."
"You added %1 to your <a href=""%2"">shopping cart</a>.","Agregaste %1 a tu <a href=""%2"">carrito de compras</a>."
"You added %1 to your wish list.","Agregaste %1 a tu lista de deseos."
"Product was added to your cart.","El producto fue agregado a tu carrito."
"%1 was added to your shopping cart.","%1 fue agregado a tu carrito de compras."
"Update Cart","Actualizar carrito"
"Empty Cart","Vaciar carrito"
"View cart","Ver carrito"
"Compare products","Comparar productos"
"Remove Product","Eliminar producto"
"Remove this item","Eliminar este artículo"
"Move to Wish List","Mover a lista de deseos"
"See all","Ver todo"
"View All","Ver todo"
"Learn More","Más información"
"Buy Now","Comprar ahora"
"Configuration","Configuración"
"Specifications","Especificaciones"
"Related Products","Productos relacionados"
"We Also Recommend","También recomendamos"
"You may also like","También te puede gustar"
"More from this Category","Más de esta categoría"
"Upsell Products","Productos sugeridos"
"Cross-sell Products","Productos complementarios"
"More Choices:","Más opciones:"
"Regular price","Precio regular"
"Special price","Precio especial"
"Final Price","Precio final"
"Excl. Tax","Sin IVA"
"Incl. Tax","IVA incluido"
"Tax:","IVA:"
"Excl. Tax:","Sin IVA:"
"Incl. Tax:","IVA incluido:"
"Add All to Cart","Agregar todo al carrito"
"Enter your email address","Ingresa tu correo electrónico"
"Sign Up for Our Newsletter:","Suscríbete a nuestro boletín:"
"Sign up for newsletter","Suscribirse al boletín"
"Thank you for registering with %1.","Gracias por registrarte en %1."
"Newsletter subscription confirmation","Confirmación de suscripción al boletín"
"Thank you for your subscription.","Gracias por tu suscripción."
"Enabled","Habilitado"
"Disabled","Deshabilitado"
"Forgot password","¿Olvidaste tu contraseña?"
"Reset Password","Restablecer contraseña"
"Confirm Password","Confirmar contraseña"
"Current Password","Contraseña actual"
"New Password","Nueva contraseña"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La longitud mínima de este campo debe ser igual o mayor a %1 caracteres."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Se requieren al menos %1 tipos de caracteres diferentes en la contraseña."
"Please enter your email address below to receive a password reset link.","Ingresa tu correo electrónico para recibir un enlace de restablecimiento de contraseña."
"Get Password Reset Link","Obtener enlace de restablecimiento"
"Back to Sign In","Volver a iniciar sesión"
"Confirm your email address","Confirma tu correo electrónico"
"Remember Me","Recordarme"
"What is PayPal?","¿Qué es PayPal?"
"Check / Money order","Consignación / Giro"
"No Payment Information Required","No se requiere información de pago"
"Your order number is: %1","Tu número de pedido es: %1"
"Your order # is: <span>%1</span>.","Tu pedido # es: <span>%1</span>."
"Thank you for your purchase!","¡Gracias por tu compra!"
"We'll email you an order confirmation with details and tracking info.","Te enviaremos un correo de confirmación con los detalles y la información de seguimiento."
"Continue shopping","Seguir comprando"
"Print receipt","Imprimir recibo"
"Create Account","Crear cuenta"
"An account has been created for you.","Se ha creado una cuenta para ti."
"Sign up for our newsletter","Suscríbete a nuestro boletín"
"Productos Similares","Productos Similares"
"Similar Products","Productos Similares"
"VER MÁS","VER MÁS"
"BUSCAR","BUSCAR"
"Swatch image","Imagen de muestra"
"Choose option","Elige una opción"
"Option","Opción"
"selected","seleccionado"
"Loading Cart...","Cargando carrito..."
"Please provide a valid discount code.","Por favor ingresa un código de descuento válido."
